ITTER107,Territory,TIPO_DATO_CN1,Aggregate,BRANCA_ATTIVITAREV2,Breakdown by industry (NACE Rev2),PRODOTTI1,Non financial assets,VAL,Valuation,CORREZ,Adjustment,T_BIS,Edition,TIME,Select time,Value,Flag Codes,Flags
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2012,2012,233103.2,,
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2013,2013,220365.4,,
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2014,2014,216823.3,,
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2015,2015,218011.9,,
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2016,2016,229752.8,,
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2017,2017,239875.6,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2010,2010,51993.5,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2011,2011,51690.7,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2012,2012,46182.1,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2013,2013,42042.4,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2014,2014,38914.2,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2015,2015,37006.4,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2016,2016,38772.2,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2017,2017,40337.3,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2010,2010,13351.3,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2011,2011,13282.1,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2012,2012,11844.3,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2013,2013,10620.9,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2014,2014,9392.1,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2015,2015,9121.5,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2016,2016,9331,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2017,2017,9895.3,,
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2010,2010,128841.9,,
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2011,2011,126439.2,,
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2012,2012,113528.8,,
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2013,2013,105424.2,,
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2014,2014,98572.9,,
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2015,2015,94565.8,,
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2016,2016,95553.4,,
ITCDE,Centro-nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2017,2017,99020.4,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2000,2000,187867.4,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2001,2001,193779.4,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2002,2002,206129,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2003,2003,199337.5,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2004,2004,203609.4,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2005,2005,209777.8,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2006,2006,212056.7,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2007,2007,215213.8,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2008,2008,214139.5,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2009,2009,191687.9,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2010,2010,191930,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2011,2011,190497.8,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2012,2012,171029.8,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2013,2013,162100.2,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2014,2014,159155.4,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2015,2015,161042.2,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2016,2016,170747.2,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2017,2017,178545.1,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2010,2010,93900.3,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2011,2011,92586.7,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2012,2012,82679.1,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2013,2013,76784.1,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2014,2014,71105.7,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2015,2015,68742.6,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2016,2016,70025.6,,
ITCD,Nord,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11K,total construction,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2017,2017,73070.8,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2000,2000,108652.2,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2001,2001,110503.8,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2002,2002,115632,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2003,2003,111132.8,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2004,2004,113570.9,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2005,2005,118617.1,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2006,2006,118591.8,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2007,2007,123137.5,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2008,2008,121867.8,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2009,2009,110235.7,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2010,2010,110883.7,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2011,2011,112032.1,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2012,2012,100140.7,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2013,2013,93978.5,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2014,2014,92981.5,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2015,2015,93717.7,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2016,2016,99293.7,,
ITC,Nord-ovest,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2017,2017,102962.9,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2000,2000,30754.9,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2001,2001,29879,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2002,2002,31830.5,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2003,2003,30549.2,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2004,2004,31427.8,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2005,2005,32117.5,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2006,2006,31137.2,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2007,2007,31320.8,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2008,2008,31031.8,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2009,2009,26296,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2010,2010,29495.9,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2011,2011,29257.3,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2012,2012,27448.5,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2013,2013,25420,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2014,2014,24949.8,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2015,2015,26351.9,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2016,2016,27117.3,,
ITC1,Piemonte,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2017,2017,28183.3,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2000,2000,9656.2,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2001,2001,9725.6,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2002,2002,9929.1,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2003,2003,10597.6,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2004,2004,8954.2,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2005,2005,9188.1,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2006,2006,9326.3,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2007,2007,9728.1,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2008,2008,8905.2,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2009,2009,9623.4,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2010,2010,9229.4,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2011,2011,9675.6,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2012,2012,7941.5,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2013,2013,7427.9,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2014,2014,7497.5,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2015,2015,7211.2,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2016,2016,8288.5,,
ITC3,Liguria,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2017,2017,7913.2,,
ITC4,Lombardia,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2000,2000,67056.8,,
ITC4,Lombardia,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2001,2001,69606.9,,
ITC4,Lombardia,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2002,2002,72542.5,,
ITC4,Lombardia,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2003,2003,68674,,
ITC4,Lombardia,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2004,2004,71863.1,,
ITC4,Lombardia,P51G_D_W2_S1,"gross fixed capital formation, domestic concept",_T,total economic activities,N11,total fixed assets by type of asset,L_2015,chain linked - reference year 2015,N,raw data,2020M5,May-20,2005,2005,76035,,
