ITTER107,Territory,TIPO_DATO35,Data type,GIUST_REATO,Type of crime,SEXISTAT1,Gender,TIME,Select time,Value,Flag Codes,Flags
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2004,2004,1694,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2005,2005,1720,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2006,2006,1575,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2007,2007,1943,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2008,2008,2116,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2009,2009,2152,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2010,2010,1912,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2011,2011,1894,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2012,2012,1870,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2013,2013,1740,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2014,2014,1663,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2015,2015,1773,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2016,2016,1837,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2017,2017,870,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2000,2000,1777,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2001,2001,1570,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2002,2002,1724,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2003,2003,1850,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2004,2004,2015,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2005,2005,2029,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2006,2006,1914,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2007,2007,2355,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2008,2008,2560,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2009,2009,2597,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2010,2010,2298,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2011,2011,2336,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2012,2012,2255,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2013,2013,2106,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2014,2014,2062,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2015,2015,2167,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2016,2016,2274,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,9,total,2017,2017,2338,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2000,2000,18588,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2001,2001,15321,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2002,2002,13297,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2003,2003,14856,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2004,2004,14164,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2005,2005,14048,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2006,2006,13160,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2007,2007,16948,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2008,2008,19073,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2009,2009,18398,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2010,2010,15862,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2011,2011,16588,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2012,2012,15928,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2013,2013,14526,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2014,2014,13173,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2015,2015,13094,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2016,2016,13881,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,1,males,2017,2017,7436,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2000,2000,5634,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2001,2001,2826,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2002,2002,2614,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2003,2003,2535,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2004,2004,2373,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2005,2005,2172,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2006,2006,2089,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2007,2007,2628,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2008,2008,3230,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2009,2009,3102,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2010,2010,2333,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2011,2011,2502,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2012,2012,2321,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2013,2013,2169,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2014,2014,1916,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2015,2015,1888,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2016,2016,1984,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,2,females,2017,2017,1198,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2000,2000,24222,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2001,2001,18147,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2002,2002,15911,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2003,2003,17391,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2004,2004,16537,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2005,2005,16220,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2006,2006,15249,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2007,2007,19576,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2008,2008,22303,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2009,2009,21500,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2010,2010,18195,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2011,2011,19090,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2012,2012,18249,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2013,2013,16695,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2014,2014,15089,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2015,2015,14982,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2016,2016,15865,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CPAM,crimes against the public administration,9,total,2017,2017,15940,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2000,2000,574,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2001,2001,570,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2002,2002,314,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2003,2003,429,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2004,2004,644,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2005,2005,369,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2006,2006,317,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2007,2007,311,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2008,2008,338,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2009,2009,347,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2010,2010,272,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2011,2011,265,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2012,2012,258,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2013,2013,289,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2014,2014,260,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2015,2015,293,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2016,2016,311,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,CO,corruption,9,total,2017,2017,291,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2000,2000,1532,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2001,2001,1438,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2002,2002,1215,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2003,2003,1271,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2004,2004,1502,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2005,2005,1312,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2006,2006,1327,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2007,2007,1793,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2008,2008,2580,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2009,2009,2590,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2010,2010,2500,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2011,2011,2733,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2012,2012,2590,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2013,2013,2425,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2014,2014,2228,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2015,2015,2063,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2016,2016,2147,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,DPU,crimes against the public administration by public officers,1,males,2017,2017,1576,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2000,2000,122,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2001,2001,83,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2002,2002,129,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2003,2003,79,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2004,2004,70,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2005,2005,61,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2006,2006,49,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2007,2007,38,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2008,2008,51,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2009,2009,48,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2010,2010,39,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2011,2011,40,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2012,2012,57,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2013,2013,50,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2014,2014,50,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2015,2015,56,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2016,2016,45,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,9,total,2017,2017,57,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2000,2000,13,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2001,2001,17,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2002,2002,15,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2003,2003,10,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2004,2004,10,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2005,2005,9,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2006,2006,3,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2007,2007,2,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2008,2008,4,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2009,2009,5,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2010,2010,9,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2011,2011,5,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2012,2012,10,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2013,2013,9,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2014,2014,10,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2015,2015,9,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2016,2016,11,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,ABS,abuse of official duties in cases not specifically provided by the law,2,females,2017,2017,10,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2000,2000,94,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2001,2001,99,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2002,2002,87,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2003,2003,137,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2004,2004,150,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2005,2005,169,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2006,2006,115,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2007,2007,129,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2008,2008,175,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2009,2009,152,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2010,2010,153,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2011,2011,167,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2012,2012,127,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2013,2013,137,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2014,2014,125,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2015,2015,126,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2016,2016,121,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,2,females,2017,2017,74,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2000,2000,1058,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2001,2001,990,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2002,2002,1141,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2003,2003,1250,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2004,2004,1409,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2005,2005,1378,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2006,2006,1174,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2007,2007,1269,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2008,2008,1393,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2009,2009,1456,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2010,2010,1423,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2011,2011,1453,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2012,2012,1246,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2013,2013,1263,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2014,2014,1203,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2015,2015,1268,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2016,2016,1341,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,1,males,2017,2017,1049,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2000,2000,1152,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2001,2001,1089,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2002,2002,1228,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2003,2003,1387,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2004,2004,1559,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2005,2005,1547,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2006,2006,1289,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2007,2007,1398,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2008,2008,1568,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2009,2009,1608,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2010,2010,1576,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2011,2011,1620,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2012,2012,1373,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2013,2013,1400,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2014,2014,1328,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2015,2015,1394,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2016,2016,1462,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,COP,crimes against public order,9,total,2017,2017,1667,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AFS,mafia-style or organized crime associations,9,total,2000,2000,461,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AFS,mafia-style or organized crime associations,9,total,2001,2001,378,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AFS,mafia-style or organized crime associations,9,total,2002,2002,570,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AFS,mafia-style or organized crime associations,9,total,2003,2003,547,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AFS,mafia-style or organized crime associations,9,total,2004,2004,606,,
